pokemon,total_batalhas,vitorias,taxa_vitoria
163,164,152.0,92.6829268292683
344,160,104.0,65.0
667,159,21.0,13.20754716981132
214,158,130.0,82.27848101265823
758,158,108.0,68.35443037974683
79,157,79.0,50.318471337579616
762,156,31.0,19.871794871794872
690,156,108.0,69.23076923076923
374,155,22.0,14.193548387096774
579,154,45.0,29.22077922077922
708,154,100.0,64.93506493506493
470,154,18.0,11.688311688311687
53,154,30.0,19.480519480519483
428,153,134.0,87.58169934640523
333,153,63.0,41.17647058823529
623,152,109.0,71.71052631578947
768,152,82.0,53.94736842105263
431,151,112.0,74.17218543046357
738,151,34.0,22.516556291390728
522,151,125.0,82.78145695364239
171,151,92.0,60.9271523178808
541,151,119.0,78.80794701986756
780,150,59.0,39.33333333333333
228,150,104.0,69.33333333333334
73,150,21.0,14.000000000000002
314,150,133.0,88.66666666666667
380,150,81.0,54.0
593,150,28.0,18.666666666666668
542,149,115.0,77.18120805369128
224,149,25.0,16.778523489932887
438,149,136.0,91.2751677852349
401,149,75.0,50.33557046979866
490,149,111.0,74.49664429530202
376,149,61.0,40.939597315436245
586,148,60.0,40.54054054054054
677,148,119.0,80.4054054054054
36,148,57.0,38.513513513513516
634,148,88.0,59.45945945945946
372,148,70.0,47.2972972972973
719,148,26.0,17.56756756756757
334,148,48.0,32.432432432432435
282,148,42.0,28.37837837837838
242,148,69.0,46.62162162162162
764,147,64.0,43.53741496598639
526,147,103.0,70.06802721088435
692,147,92.0,62.585034013605444
599,147,33.0,22.448979591836736
278,147,54.0,36.734693877551024
609,146,23.0,15.753424657534246
512,146,62.0,42.465753424657535
47,145,55.0,37.93103448275862
432,145,133.0,91.72413793103448
225,145,50.0,34.48275862068966
631,145,87.0,60.0
259,144,116.0,80.55555555555556
680,144,29.0,20.13888888888889
309,144,63.0,43.75
415,144,50.0,34.72222222222222
310,144,26.0,18.055555555555554
559,144,55.0,38.19444444444444
13,144,83.0,57.638888888888886
584,144,27.0,18.75
799,144,89.0,61.80555555555556
369,143,61.0,42.65734265734265
93,143,121.0,84.61538461538461
319,143,37.0,25.874125874125873
54,143,32.0,22.377622377622377
113,143,29.0,20.27972027972028
49,143,9.0,6.293706293706294
89,143,24.0,16.783216783216783
118,143,20.0,13.986013986013987
304,143,23.0,16.083916083916083
332,142,36.0,25.352112676056336
96,142,25.0,17.6056338028169
130,142,80.0,56.33802816901409
364,142,66.0,46.478873239436616
60,142,47.0,33.098591549295776
716,142,98.0,69.01408450704226
212,142,117.0,82.3943661971831
152,142,61.0,42.95774647887324
208,142,23.0,16.19718309859155
544,142,122.0,85.91549295774648
687,141,86.0,60.99290780141844
133,141,124.0,87.94326241134752
502,141,63.0,44.680851063829785
465,141,103.0,73.04964539007092
486,141,37.0,26.24113475177305
154,141,136.0,96.45390070921985
11,141,59.0,41.843971631205676
330,141,53.0,37.5886524822695
774,140,36.0,25.71428571428571
116,140,87.0,62.142857142857146
26,140,101.0,72.14285714285714
230,140,77.0,55.00000000000001
627,140,45.0,32.142857142857146
55,140,92.0,65.71428571428571
58,140,91.0,65.0
683,140,39.0,27.857142857142858
439,140,20.0,14.285714285714285
211,140,36.0,25.71428571428571
40,140,79.0,56.42857142857143
194,140,23.0,16.428571428571427
71,140,108.0,77.14285714285715
324,140,13.0,9.285714285714286
416,140,33.0,23.57142857142857
426,140,116.0,82.85714285714286
257,139,72.0,51.798561151079134
248,139,111.0,79.85611510791367
198,139,30.0,21.58273381294964
157,139,95.0,68.34532374100719
387,139,74.0,53.23741007194245
335,139,45.0,32.37410071942446
446,139,84.0,60.431654676258994
140,139,25.0,17.985611510791365
267,139,41.0,29.496402877697843
8,139,119.0,85.61151079136691
360,139,41.0,29.496402877697843
241,139,28.0,20.14388489208633
394,139,130.0,93.5251798561151
726,139,107.0,76.97841726618705
449,139,36.0,25.899280575539567
143,139,61.0,43.884892086330936
293,139,55.0,39.568345323741006
255,138,52.0,37.68115942028986
560,138,72.0,52.17391304347826
27,138,62.0,44.927536231884055
175,138,81.0,58.69565217391305
289,138,10.0,7.246376811594203
268,138,56.0,40.57971014492754
461,138,36.0,26.08695652173913
52,138,13.0,9.420289855072465
291,138,72.0,52.17391304347826
177,138,93.0,67.3913043478261
290,138,3.0,2.1739130434782608
531,138,91.0,65.94202898550725
352,138,59.0,42.7536231884058
151,138,49.0,35.507246376811594
567,138,53.0,38.405797101449274
696,138,57.0,41.30434782608695
162,138,87.0,63.04347826086957
657,138,64.0,46.3768115942029
779,138,33.0,23.91304347826087
367,137,90.0,65.69343065693431
222,137,26.0,18.97810218978102
142,137,93.0,67.88321167883211
328,137,59.0,43.06569343065693
658,137,115.0,83.94160583941606
409,137,113.0,82.48175182481752
794,137,111.0,81.02189781021897
107,137,38.0,27.73722627737226
226,137,21.0,15.328467153284672
699,137,103.0,75.18248175182481
182,137,13.0,9.48905109489051
698,137,58.0,42.33576642335766
527,137,86.0,62.77372262773723
82,137,29.0,21.16788321167883
277,137,39.0,28.467153284671532
181,137,86.0,62.77372262773723
105,137,30.0,21.897810218978105
117,136,19.0,13.970588235294118
132,136,76.0,55.88235294117647
338,136,77.0,56.61764705882353
412,136,42.0,30.88235294117647
730,136,55.0,40.44117647058824
386,136,36.0,26.47058823529412
444,136,113.0,83.08823529411765
530,136,40.0,29.411764705882355
305,136,36.0,26.47058823529412
159,136,100.0,73.52941176470588
252,136,48.0,35.294117647058826
174,136,60.0,44.11764705882353
250,136,88.0,64.70588235294117
600,136,85.0,62.5
596,136,62.0,45.588235294117645
111,136,32.0,23.52941176470588
31,136,93.0,68.38235294117648
453,136,94.0,69.11764705882352
232,136,94.0,69.11764705882352
601,136,35.0,25.735294117647058
179,136,68.0,50.0
325,136,32.0,23.52941176470588
38,136,34.0,25.0
283,136,65.0,47.794117647058826
551,136,117.0,86.02941176470588
660,136,61.0,44.85294117647059
564,135,25.0,18.51851851851852
570,135,123.0,91.11111111111111
323,135,13.0,9.62962962962963
540,135,122.0,90.37037037037037
281,135,22.0,16.296296296296298
468,135,16.0,11.851851851851853
670,135,57.0,42.22222222222222
492,135,35.0,25.925925925925924
9,135,114.0,84.44444444444444
254,135,90.0,66.66666666666666
164,135,125.0,92.5925925925926
582,135,80.0,59.25925925925925
475,135,93.0,68.88888888888889
81,135,16.0,11.851851851851853
231,135,0.0,0.0
104,135,65.0,48.148148148148145
25,135,65.0,48.148148148148145
205,135,114.0,84.44444444444444
672,135,51.0,37.77777777777778
249,135,128.0,94.81481481481482
134,135,99.0,73.33333333333333
83,135,50.0,37.03703703703704
462,135,65.0,48.148148148148145
313,134,86.0,64.17910447761194
546,134,89.0,66.4179104477612
430,134,121.0,90.29850746268657
523,134,64.0,47.76119402985074
223,134,93.0,69.40298507462687
400,134,32.0,23.88059701492537
312,134,15.0,11.194029850746269
218,134,18.0,13.432835820895523
668,134,21.0,15.671641791044777
92,134,87.0,64.92537313432835
612,134,72.0,53.73134328358209
760,134,69.0,51.49253731343284
733,134,11.0,8.208955223880597
340,134,123.0,91.7910447761194
99,134,71.0,52.98507462686567
405,134,57.0,42.53731343283582
537,134,98.0,73.13432835820896
549,134,118.0,88.05970149253731
342,134,81.0,60.447761194029844
391,134,56.0,41.7910447761194
246,134,70.0,52.23880597014925
694,134,118.0,88.05970149253731
264,134,109.0,81.34328358208955
147,134,124.0,92.53731343283582
427,134,127.0,94.77611940298507
126,133,55.0,41.35338345864661
565,133,69.0,51.8796992481203
616,133,109.0,81.95488721804512
576,133,113.0,84.9624060150376
397,133,80.0,60.150375939849624
286,133,85.0,63.90977443609023
753,133,8.0,6.015037593984962
410,133,125.0,93.98496240601504
292,133,7.0,5.263157894736842
1,133,37.0,27.819548872180448
418,133,116.0,87.21804511278195
216,133,84.0,63.1578947368421
411,133,20.0,15.037593984962406
445,133,19.0,14.285714285714285
591,133,46.0,34.58646616541353
7,133,115.0,86.46616541353383
239,133,37.0,27.819548872180448
141,133,82.0,61.65413533834586
638,133,65.0,48.87218045112782
97,133,50.0,37.59398496240601
539,133,79.0,59.3984962406015
734,133,10.0,7.518796992481203
424,133,106.0,79.69924812030075
272,133,111.0,83.45864661654136
590,133,103.0,77.44360902255639
493,133,82.0,61.65413533834586
15,133,13.0,9.774436090225564
3,132,89.0,67.42424242424242
318,132,15.0,11.363636363636363
604,132,37.0,28.030303030303028
146,132,69.0,52.27272727272727
548,132,74.0,56.060606060606055
656,132,68.0,51.515151515151516
451,132,77.0,58.333333333333336
403,132,48.0,36.36363636363637
750,132,44.0,33.33333333333333
788,132,52.0,39.39393939393939
423,132,97.0,73.48484848484848
619,132,43.0,32.57575757575758
215,132,32.0,24.242424242424242
578,132,9.0,6.8181818181818175
434,132,39.0,29.545454545454547
770,132,61.0,46.21212121212121
389,132,15.0,11.363636363636363
524,132,109.0,82.57575757575758
654,132,42.0,31.818181818181817
557,132,119.0,90.15151515151516
614,132,111.0,84.0909090909091
148,132,70.0,53.03030303030303
173,132,29.0,21.96969696969697
251,132,39.0,29.545454545454547
592,132,48.0,36.36363636363637
349,132,107.0,81.06060606060606
732,132,120.0,90.9090909090909
543,131,85.0,64.8854961832061
260,131,81.0,61.832061068702295
95,131,68.0,51.908396946564885
635,131,115.0,87.78625954198473
797,131,116.0,88.54961832061069
756,131,81.0,61.832061068702295
710,131,112.0,85.49618320610686
632,131,66.0,50.38167938931297
682,131,121.0,92.36641221374046
406,131,79.0,60.30534351145038
507,131,68.0,51.908396946564885
440,131,33.0,25.190839694656486
103,131,113.0,86.25954198473282
784,131,33.0,25.190839694656486
745,131,113.0,86.25954198473282
399,131,8.0,6.106870229007633
355,131,37.0,28.24427480916031
585,131,44.0,33.587786259541986
572,131,106.0,80.91603053435115
663,131,99.0,75.57251908396947
554,131,115.0,87.78625954198473
558,131,34.0,25.954198473282442
87,131,20.0,15.267175572519085
29,131,48.0,36.6412213740458
245,131,78.0,59.541984732824424
311,130,67.0,51.53846153846153
45,130,15.0,11.538461538461538
776,130,59.0,45.38461538461539
681,130,66.0,50.76923076923077
529,130,26.0,20.0
528,130,112.0,86.15384615384616
573,130,60.0,46.15384615384615
70,130,87.0,66.92307692307692
233,130,81.0,62.30769230769231
23,130,112.0,86.15384615384616
284,130,77.0,59.23076923076923
18,130,17.0,13.076923076923078
68,130,68.0,52.307692307692314
463,130,55.0,42.30769230769231
581,130,102.0,78.46153846153847
306,130,84.0,64.61538461538461
244,130,74.0,56.92307692307692
395,130,6.0,4.615384615384616
595,130,39.0,30.0
571,130,53.0,40.76923076923077
414,130,113.0,86.92307692307692
370,130,69.0,53.07692307692308
119,129,56.0,43.41085271317829
383,129,80.0,62.01550387596899
131,129,116.0,89.92248062015504
348,129,66.0,51.162790697674424
639,129,4.0,3.10077519379845
477,129,124.0,96.12403100775194
515,129,35.0,27.131782945736433
393,129,89.0,68.9922480620155
50,129,28.0,21.705426356589147
742,129,62.0,48.06201550387597
43,129,53.0,41.08527131782946
759,129,37.0,28.68217054263566
754,129,25.0,19.379844961240313
676,129,48.0,37.2093023255814
136,129,96.0,74.4186046511628
110,129,109.0,84.49612403100775
673,129,59.0,45.73643410852713
460,129,22.0,17.05426356589147
123,129,49.0,37.98449612403101
789,129,12.0,9.30232558139535
697,129,106.0,82.17054263565892
135,129,115.0,89.14728682170544
793,129,107.0,82.94573643410853
169,129,88.0,68.21705426356588
626,129,30.0,23.25581395348837
155,129,127.0,98.44961240310077
100,128,61.0,47.65625
197,128,37.0,28.90625
150,128,23.0,17.96875
684,128,40.0,31.25
679,128,118.0,92.1875
535,128,90.0,70.3125
629,128,117.0,91.40625
505,128,85.0,66.40625
404,128,37.0,28.90625
474,128,80.0,62.5
751,128,64.0,50.0
700,128,117.0,91.40625
785,128,92.0,71.875
308,128,47.0,36.71875
149,128,23.0,17.96875
48,128,97.0,75.78125
713,128,100.0,78.125
57,128,108.0,84.375
115,128,82.0,64.0625
186,128,66.0,51.5625
261,128,103.0,80.46875
577,128,5.0,3.90625
219,128,74.0,57.8125
379,128,26.0,20.3125
262,128,40.0,31.25
711,128,99.0,77.34375
125,128,107.0,83.59375
